id_applic,consent,priorit,physics_it_socre,math_score,russian_score,achivments_score,total_score
1,true,4,89,74,95,0,258
2,true,4,70,85,55,0,210
3,false,4,92,99,63,0,254
4,true,4,74,89,88,5,256
5,true,4,95,98,62,3,258
6,true,4,79,68,77,3,227
7,false,4,81,78,88,0,247
8,false,4,88,93,68,5,254
9,true,4,96,74,72,5,247
10,true,4,86,85,70,5,246
11,false,4,75,70,89,0,234
12,false,4,97,77,87,0,261
13,true,4,81,73,92,7,253
14,true,4,97,86,66,0,249
15,true,4,95,91,88,3,277
16,true,4,88,86,76,0,250
17,true,4,88,97,62,0,247
18,true,4,78,86,74,5,243
19,true,4,70,71,76,5,222
20,true,4,79,97,90,3,269
21,true,4,86,85,56,3,230
22,true,4,92,83,81,0,256
23,true,4,84,86,56,7,233
24,true,4,95,88,77,0,260
25,true,4,97,78,78,0,253
26,true,4,94,68,87,5,254
27,true,4,94,93,83,0,270
28,true,4,85,93,95,7,280
29,true,4,79,76,78,7,240
30,true,4,84,78,87,0,249
31,true,4,89,80,85,0,254
32,true,4,92,96,58,0,246
33,true,4,79,88,93,3,263
34,true,4,98,91,84,0,273
35,true,4,83,71,82,0,236
36,true,4,91,86,81,5,263
37,false,4,88,86,78,0,252
38,true,4,83,75,83,0,241
39,true,4,79,66,79,0,224
40,true,4,74,74,86,3,237
41,true,4,100,77,59,0,236
42,true,4,76,72,95,0,243
43,true,4,80,68,58,0,206
44,true,4,95,100,70,0,265
45,true,4,99,86,78,0,263
46,true,4,87,72,82,10,251
47,true,4,95,78,78,10,261
48,false,4,86,91,81,0,258
49,true,4,79,87,55,10,231
50,true,4,86,70,56,0,212
51,true,4,72,83,67,0,222
52,true,4,87,86,85,0,258
53,true,4,77,94,92,0,263
54,false,4,91,67,94,10,262
55,false,4,86,91,57,3,237
56,true,4,87,98,87,0,272
57,true,4,81,70,57,0,208
58,true,4,72,77,93,0,242
59,true,4,71,78,66,0,215
60,true,4,92,67,94,0,253
61,true,4,100,80,68,3,251
62,true,4,99,67,66,0,232
63,true,4,87,80,89,3,259
64,true,4,87,69,90,3,249
65,true,4,86,83,83,0,252
66,false,4,82,93,82,0,257
67,true,4,87,73,55,0,215
68,true,4,79,70,66,0,215
69,true,4,85,92,73,0,250
70,true,4,78,91,74,5,248
71,true,4,94,100,67,3,264
72,true,4,96,96,93,0,285
73,true,4,72,85,88,3,248
74,true,4,78,93,74,3,248
75,true,4,84,89,88,3,264
76,false,4,96,81,79,3,259
77,true,4,72,86,70,5,233
78,true,4,79,92,80,3,254
79,true,4,100,82,55,0,237
80,true,4,100,65,90,3,258
81,false,4,83,89,79,3,254
82,true,4,91,69,62,10,232
83,true,4,95,73,91,5,264
84,true,4,82,73,72,3,230
85,true,4,84,68,69,0,221
86,true,4,71,100,72,10,253
87,false,4,86,69,68,0,223
88,true,4,85,98,75,3,261
89,true,4,80,81,76,3,240
90,false,4,91,85,83,0,259
91,true,4,86,88,84,0,258
92,true,4,80,68,77,0,225
93,true,4,93,90,95,0,278
94,true,4,78,81,93,0,252
95,true,4,84,79,65,0,228
96,true,4,81,81,82,0,244
97,true,4,71,81,66,0,218
98,true,4,84,97,82,0,263
99,true,4,71,88,63,0,222
100,false,4,86,70,91,0,247
101,true,4,83,66,76,0,225
102,true,4,98,79,75,7,259
103,true,4,90,99,60,0,249
104,false,4,92,76,66,3,237
105,true,4,83,95,82,5,265
106,true,4,92,96,92,5,285
107,true,4,76,73,68,3,220
108,true,4,89,67,87,10,253
109,true,4,71,96,57,0,224
110,false,4,78,70,88,0,236
111,true,4,96,83,92,5,276
112,true,4,97,66,76,0,239
113,true,4,89,76,77,3,245
114,false,4,76,72,73,0,221
115,true,4,79,77,57,7,220
116,true,4,93,95,85,7,280
117,true,4,71,72,69,0,212
118,true,4,73,74,63,0,210
119,false,4,95,83,76,7,261
120,false,4,84,72,73,0,229
121,true,4,77,67,73,0,217
122,true,4,95,83,70,0,248
123,true,4,82,91,77,7,257
124,false,4,72,77,80,7,236
125,true,4,70,86,87,0,243
126,true,4,80,94,75,0,249
127,true,4,91,73,58,0,222
128,true,4,74,95,58,0,227
129,false,4,98,65,55,10,228
130,true,4,85,92,90,0,267
131,true,4,100,85,84,0,269
132,false,4,92,76,60,3,231
133,false,4,76,94,93,5,268
134,true,4,88,88,67,5,248
135,true,4,90,79,56,7,232
136,true,4,92,83,92,0,267
137,false,4,85,91,76,5,257
138,true,4,74,83,67,7,231
139,true,4,74,79,57,0,210
140,true,4,93,81,81,3,258
141,true,4,88,86,62,0,236
142,false,4,97,84,59,5,245
143,true,4,87,85,74,3,249
144,true,4,89,71,58,0,218
145,true,4,77,88,70,10,245
146,true,4,80,80,55,0,215
147,true,4,84,84,67,5,240
148,false,4,73,99,73,0,245
149,true,4,99,79,83,0,261
150,false,4,95,74,61,0,230
151,true,4,71,82,83,0,236
152,false,4,98,75,90,3,266
153,true,4,96,78,95,3,272
154,true,4,81,93,89,0,263
155,true,4,84,89,93,0,266
156,false,4,100,71,86,5,262
157,false,4,94,80,56,5,235
158,true,4,98,87,78,5,268
159,true,4,94,89,93,3,279
160,false,4,88,69,86,0,243
161,true,4,70,83,86,3,242
162,true,4,71,81,74,0,226
163,true,4,96,83,77,0,256
164,true,4,84,77,78,0,239
165,true,4,70,89,78,3,240
166,true,4,87,65,85,7,244
167,true,4,84,74,66,0,224
168,false,4,70,75,81,5,231
169,true,4,73,89,59,3,224
170,false,4,70,66,62,10,208
171,true,4,96,79,82,0,257
172,true,4,70,82,91,5,248
173,false,4,71,94,58,7,230
174,true,4,91,96,80,0,267
175,false,4,84,98,84,5,271
176,true,4,78,68,60,3,209
177,true,4,74,89,87,7,257
178,true,4,90,86,82,3,261
179,true,4,83,90,74,0,247
180,true,4,80,77,95,10,262
181,true,4,96,72,92,0,260
182,false,4,81,72,68,0,221
183,true,4,93,94,73,3,263
184,true,4,71,76,77,0,224
185,false,4,93,92,84,0,269
186,true,4,90,98,81,0,269
187,true,4,74,72,90,5,241
188,false,4,86,96,71,0,253
189,false,4,89,96,83,0,268
190,true,4,79,86,90,0,255
191,true,4,88,89,93,3,273
192,false,4,74,76,77,5,232
193,true,4,92,77,58,0,227
194,true,4,82,72,64,5,223
195,true,4,83,70,91,10,254
196,true,4,77,78,78,3,236
197,true,4,94,69,70,3,236
198,true,4,90,67,75,0,232
199,false,4,77,95,78,0,250
200,true,4,92,76,82,0,250
701,true,4,100,82,90,0,272
702,true,4,75,72,62,3,212
703,true,4,93,77,73,0,243
704,true,4,74,75,63,3,215
705,false,4,83,94,87,0,264
706,true,4,90,80,91,0,261
707,true,4,96,93,78,5,272
708,true,4,100,85,75,0,260
709,true,4,72,95,91,0,258
710,true,4,76,73,74,0,223
711,true,4,86,87,70,7,250
712,true,4,81,86,86,0,253
713,true,4,71,94,65,3,233
714,true,4,88,77,79,5,249
715,true,4,75,87,81,7,250
716,true,4,73,77,91,0,241
717,true,4,95,94,55,3,247
718,true,4,88,66,80,5,239
719,true,4,95,82,72,0,249
720,true,4,79,69,56,0,204
721,true,4,89,95,71,0,255
722,true,4,99,74,62,10,245
723,true,4,86,98,59,3,246
724,true,4,98,91,94,7,290
725,true,4,94,78,64,5,241
726,true,4,84,80,78,10,252
727,true,4,95,98,74,3,270
728,true,4,80,71,60,5,216
729,true,4,84,77,74,0,235
730,false,4,79,70,81,5,235
731,false,4,75,75,79,0,229
732,true,4,83,85,73,10,251
733,true,4,96,76,62,0,234
734,true,4,92,89,94,3,278
735,false,4,79,80,91,0,250
736,true,4,77,70,83,3,233
737,false,4,99,89,79,0,267
738,true,4,85,86,71,3,245
739,true,4,71,68,81,5,225
740,false,4,71,98,59,0,228
741,true,4,82,87,61,0,230
742,true,4,94,81,95,5,275
743,true,4,75,65,65,0,205
744,true,4,72,86,80,0,238
745,true,4,78,86,82,3,249
746,true,4,73,86,72,0,231
747,true,4,81,92,80,5,258
748,false,4,100,98,76,3,277
749,true,4,92,86,82,5,265
750,true,4,90,72,83,3,248
751,true,4,75,95,90,3,263
752,true,4,88,76,74,0,238
753,true,4,90,72,61,0,223
754,true,4,73,82,87,0,242
755,true,4,96,70,68,3,237
756,true,4,88,90,91,0,269
757,false,4,80,75,81,0,236
758,false,4,73,75,56,0,204
759,true,4,89,74,58,7,228
760,true,4,89,84,82,10,265
761,true,4,82,98,80,0,260
762,false,4,74,69,89,0,232
763,false,4,91,72,70,0,233
764,true,4,100,85,93,0,278
765,false,4,88,82,95,0,265
766,true,4,95,85,67,0,247
767,true,4,73,66,61,0,200
768,false,4,73,73,68,0,214
769,true,4,98,99,65,10,272
770,true,4,99,99,71,5,274
771,true,4,98,73,64,5,240
772,true,4,75,81,80,7,243
773,true,4,77,70,95,10,252
774,false,4,77,73,75,7,232
775,true,4,77,81,65,3,226
776,true,4,85,67,83,0,235
777,true,4,99,73,94,5,271
778,false,4,90,99,86,5,280
779,true,4,79,90,85,0,254
780,true,4,97,96,86,0,279
781,true,4,95,86,66,0,247
782,true,4,96,66,70,0,232
783,false,4,70,88,59,3,220
784,false,4,79,96,64,5,244
785,true,4,78,73,77,0,228
786,false,4,93,69,82,5,249
787,false,4,75,78,92,0,245
788,true,4,87,79,92,0,258
789,true,4,95,100,61,3,259
790,true,4,76,97,91,7,271
791,true,4,87,75,84,3,249
792,false,4,78,95,57,0,230
793,true,4,94,87,84,3,268
794,true,4,77,88,92,0,257
795,true,4,88,92,92,0,272
796,true,4,77,77,75,0,229
797,false,4,70,68,77,5,220
798,true,4,85,65,86,0,236
799,true,4,88,100,74,0,262
800,true,4,95,90,67,0,252
801,true,4,74,91,81,5,251
802,true,4,99,65,75,3,242
803,true,4,78,81,90,5,254
804,true,4,98,75,65,0,238
805,true,4,96,71,67,5,239
806,true,4,89,67,75,0,231
807,true,4,91,91,68,3,253
808,true,4,89,71,56,0,216
809,true,4,97,71,69,5,242
810,false,4,93,90,77,3,263
811,true,4,78,86,56,0,220
812,true,4,77,74,64,0,215
813,false,4,95,96,87,5,283
814,true,4,98,67,67,10,242
815,true,4,96,78,95,3,272
816,false,4,72,70,83,7,232
817,true,4,100,79,77,7,263
818,true,4,100,85,63,5,253
819,true,4,93,75,83,0,251
820,true,4,98,80,86,5,269
821,true,4,96,84,93,10,283
822,true,4,87,71,56,3,217
823,true,4,96,80,58,0,234
824,false,4,70,81,56,0,207
825,true,4,95,71,87,0,253
826,true,4,100,84,90,0,274
827,true,4,74,67,57,0,198
828,true,4,70,69,71,3,213
829,true,4,78,73,88,10,249
830,true,4,87,100,85,0,272
831,true,4,94,77,66,0,237
832,false,4,76,95,55,3,229
833,true,4,90,82,67,0,239
834,true,4,79,78,68,0,225
835,false,4,72,91,78,7,248
836,true,4,70,83,80,0,233
837,true,4,73,72,67,0,212
838,true,4,79,94,91,0,264
839,false,4,91,74,63,0,228
840,true,4,74,92,84,3,253
841,false,4,95,69,88,5,257
842,true,4,87,100,92,0,279
843,true,4,83,94,86,0,263
844,true,4,76,88,59,3,226
845,true,4,95,69,63,0,227
846,true,4,77,99,91,3,270
847,true,4,78,75,57,3,213
848,true,4,73,82,78,3,236
849,false,4,99,97,81,3,280
850,true,4,78,94,69,0,241
851,true,4,100,66,86,10,262
852,true,4,77,84,57,3,221
853,true,4,95,87,86,0,268
854,true,4,73,77,91,5,246
855,true,4,91,85,70,0,246
856,true,4,96,88,72,0,256
857,true,4,75,80,92,0,247
858,true,4,70,85,71,7,233
859,true,4,98,85,81,0,264
860,true,4,100,68,84,3,255
861,true,4,87,77,84,3,251
862,true,4,91,87,77,3,258
863,true,4,78,79,75,0,232
864,true,4,94,67,83,7,251
865,true,4,84,91,84,3,262
866,false,4,95,98,89,3,285
867,true,4,94,73,61,7,235
868,false,4,91,94,63,3,251
869,false,4,79,66,94,0,239
870,true,4,79,72,66,0,217
871,false,4,87,88,86,3,264
872,false,4,100,82,61,7,250
873,true,4,83,84,90,0,257
874,false,4,100,91,71,0,262
875,false,4,79,73,73,5,230
876,true,4,88,68,71,3,230
877,true,4,73,72,56,3,204
878,true,4,77,65,69,0,211
879,true,4,91,68,73,0,232
880,false,4,77,66,84,0,227
881,false,4,88,92,88,10,278
882,true,4,95,81,93,5,274
883,true,4,94,78,95,0,267
884,true,4,73,79,87,5,244
885,true,4,88,97,92,0,277
886,false,4,84,75,73,0,232
887,true,4,99,72,61,7,239
888,true,4,83,70,87,5,245
889,false,4,72,73,70,5,220
890,true,4,73,89,78,3,243
891,false,4,89,94,78,0,261
892,false,4,77,68,56,0,201
893,true,4,76,94,72,5,247
894,false,4,79,89,85,0,253
895,true,4,82,86,68,0,236
896,true,4,73,74,68,0,215
897,false,4,72,71,95,0,238
898,true,4,74,66,95,0,235
899,true,4,93,71,70,0,234
900,true,4,81,68,57,7,213
901,true,4,75,84,71,3,233
902,false,4,93,93,70,5,261
903,true,4,91,100,71,0,262
904,false,4,96,72,62,0,230
905,true,4,88,85,94,5,272
906,true,4,95,74,81,5,255
907,true,4,76,86,75,0,237
908,true,4,74,85,89,0,248
909,false,4,87,88,58,0,233
910,true,4,75,84,57,5,221
911,false,4,81,87,90,3,261
912,true,4,92,97,58,0,247
913,true,4,86,86,65,3,240
914,true,4,71,96,75,7,249
915,false,4,88,97,60,3,248
916,true,4,81,93,68,0,242
917,true,4,81,83,63,0,227
918,true,4,85,95,86,0,266
919,true,4,82,82,91,0,255
920,true,4,83,67,74,0,224
921,false,4,82,92,55,3,232
922,true,4,79,73,79,3,234
923,true,4,95,94,78,0,267
924,false,4,77,94,92,5,268
925,true,4,98,100,77,3,278
926,true,4,88,89,56,0,233
927,true,4,84,81,56,0,221
928,true,4,89,87,67,0,243
929,true,4,88,92,58,5,243
930,true,4,96,79,64,3,242
931,false,4,88,66,83,0,237
932,true,4,92,88,61,0,241
933,true,4,76,90,58,0,224
934,true,4,79,79,92,0,250
935,false,4,78,97,88,7,270
936,true,4,88,94,90,0,272
937,true,4,72,80,82,5,239
938,true,4,83,81,91,5,260
939,true,4,92,84,93,5,274
940,true,4,93,87,84,3,267
941,true,4,93,93,67,0,253
942,true,4,84,83,64,5,236
943,false,4,99,73,64,3,239
