id_applic,consent,priorit,physics_it_socre,math_score,russian_score,achivments_score,total_score
1,true,3,100,76,73,10,259
2,true,3,92,82,62,0,236
3,true,3,100,78,88,3,269
4,true,3,85,99,63,0,247
5,false,3,76,66,73,0,215
6,true,3,90,79,88,0,257
7,true,3,88,85,86,3,262
8,true,3,84,100,83,0,267
9,true,3,95,84,65,0,244
10,true,3,74,83,58,0,215
11,true,3,99,75,94,0,268
12,false,3,96,76,66,5,243
13,false,3,77,74,65,0,216
14,true,3,78,73,83,0,234
15,true,3,81,67,75,0,223
16,true,3,79,75,89,0,243
17,true,3,100,96,64,0,260
18,false,3,86,65,89,0,240
19,false,3,100,95,73,5,273
20,true,3,93,74,91,7,265
21,false,3,98,72,85,0,255
22,false,3,70,72,74,0,216
23,false,3,72,93,77,0,242
24,false,3,86,77,92,0,255
25,false,3,70,82,67,0,219
26,true,3,82,70,87,0,239
27,true,3,99,97,58,3,257
28,true,3,82,92,78,0,252
29,true,3,84,87,74,7,252
30,true,3,95,93,81,0,269
31,true,3,74,92,81,5,252
32,false,3,79,74,68,0,221
33,false,3,99,86,59,10,254
34,true,3,83,70,55,3,211
35,false,3,84,76,90,5,255
36,true,3,75,73,67,5,220
37,false,3,96,96,57,5,254
38,true,3,87,84,86,5,262
39,false,3,78,65,64,0,207
40,true,3,90,95,62,3,250
41,true,3,99,76,86,3,264
42,true,3,85,72,72,10,239
43,false,3,85,88,92,3,268
44,true,3,81,95,62,3,241
45,true,3,88,81,65,0,234
46,true,3,75,73,77,0,225
47,false,3,79,87,58,0,224
48,true,3,76,69,87,5,237
49,true,3,94,71,93,0,258
50,false,3,78,85,74,3,240
51,true,3,88,71,89,0,248
52,true,3,79,73,88,0,240
53,true,3,73,86,65,0,224
54,false,3,89,77,90,3,259
55,true,3,92,99,90,5,286
56,false,3,73,94,59,5,231
57,true,3,79,95,77,3,254
58,true,3,86,93,93,5,277
59,true,3,93,84,56,5,238
60,true,3,79,74,69,0,222
61,true,3,92,70,82,5,249
62,true,3,94,66,85,0,245
63,true,3,88,67,87,0,242
64,true,3,72,81,57,0,210
65,true,3,99,71,62,3,235
66,true,3,91,77,66,0,234
67,false,3,81,82,92,0,255
68,false,3,88,80,87,0,255
69,false,3,76,65,88,5,234
70,true,3,70,75,89,10,244
71,true,3,97,78,87,5,267
72,true,3,91,76,83,10,260
73,true,3,83,87,79,0,249
74,true,3,73,72,75,0,220
75,false,3,92,96,78,0,266
76,true,3,85,70,75,0,230
77,true,3,77,84,83,3,247
78,false,3,97,92,67,0,256
79,false,3,75,95,78,0,248
80,false,3,84,71,80,3,238
81,true,3,82,72,64,0,218
82,true,3,72,71,65,0,208
83,true,3,97,77,93,10,277
84,false,3,78,92,86,5,261
85,false,3,81,82,80,0,243
86,false,3,86,90,86,0,262
87,true,3,78,71,62,0,211
88,false,3,73,73,56,5,207
89,false,3,75,96,56,0,227
90,false,3,89,74,74,3,240
91,true,3,95,98,86,0,279
92,true,3,86,96,86,0,268
93,true,3,70,99,89,10,268
94,false,3,82,92,62,0,236
95,true,3,71,93,84,0,248
96,true,3,85,84,65,0,234
97,false,3,94,89,86,0,269
